N,TVStand6,,,,,
M,Plywood 12mm,,,,,
K,0.15,,,,,
@,L,W,Qty,Grain dir,,
S,96,48,,h,,
@,Length,Width,Qty,Grain dir,Label,
P,61,18.5,1,h,Base Front,
P,10.25,18.5,2,h,Base Side,
P,59,18.5,1,h,Shield Front,
P,8,18.5,2,h,Shield Side,
P,16.5,2,2,h,Shield Runner,
P,3.73,2,2,,Top Conn Side,
P,18,2,1,,Top Conn Bottom,
P,59.5,8.96,1,h,Top,
P,24,1.5,2,h,Back Rail Spacer,TODO: Should this be 3/4?
P,12.53,17.75,2,h,Back MidSide (12.53 max),
